instrument_name,option_type,underlying_price_S,strike_K,time_to_maturity_T,risk_free_rate_r,option_price_V,implied_vol,price_heston_analytical,price_heston_monte_carlo,mc_error_abs,mc_error_rel
BTC-19JUN26-67000-C,call,62937.35,67000.0,0.030545403308885,0.045,676.5765124999999,0.4616123960625491,566.4182973812985,515.6455438657883,50.7727535155102,0.08963826513063942
BTC-19JUN26-67000-P,put,62937.29,67000.0,0.030545403308885,0.045,4736.0310725,0.4873999103347576,4537.085034322918,4537.6317344964355,0.5467001735178201,0.00012049590637646176
BTC-19JUN26-68000-C,call,62942.24,68000.0,0.030545403308885,0.045,472.0668,0.4551515322833553,412.35369158402864,355.4889798974039,56.86471168662473,0.137902758838372
BTC-19JUN26-68000-P,put,62940.97,68000.0,0.030545403308885,0.045,5523.0701175,0.4839984744777582,5377.792270317121,5339.812870546259,37.979399770862074,0.007062266049302511
BTC-19JUN26-69000-C,call,62938.81,69000.0,0.030545403308885,0.045,346.16345499999994,0.4607035291152699,303.5035190270746,236.40587617950396,67.09764284757065,0.22107698475016718
BTC-19JUN26-69000-P,put,62938.81,69000.0,0.030545403308885,0.045,6388.289215,0.4905908494486717,6269.915195123482,6165.501023538746,104.41417158473541,0.016653203167077135
BTC-19JUN26-70000-C,call,62938.81,70000.0,0.030545403308885,0.045,242.3144185,0.461266044948204,231.74783725691304,158.18658839344565,73.5612488634674,0.31741935430412765
BTC-19JUN26-70000-P,put,62939.22,70000.0,0.030545403308885,0.045,7285.214714999994,0.498337869613269,7196.403177838089,7157.9717098884275,38.431467949661055,0.005340371710692072
BTC-19JUN26-71000-C,call,62940.44,71000.0,0.030545403308885,0.045,169.939188,0.4637848331430004,187.97731177630612,106.41699659354848,81.56031518275765,0.4338838257236852
BTC-19JUN26-71000-P,put,62942.92,71000.0,0.030545403308885,0.045,8229.78679,0.5199888750551789,8147.630008970067,8056.614190997414,91.01581797265317,0.011170833465983365
BTC-19JUN26-72000-C,call,62942.92,72000.0,0.030545403308885,0.045,125.88584,0.472699355740537,164.9053499870613,65.12564288779559,99.7797070992657,0.6050725892585932
BTC-19JUN26-72000-P,put,62945.58,72000.0,0.030545403308885,0.045,9190.05468,0.5438403679723277,9120.478277231392,9021.52533221916,98.9529450122318,0.010849534641101069
BTC-19JUN26-73000-C,call,62952.22,73000.0,0.030545403308885,0.045,94.42833,0.4822342920156201,156.8905516704025,47.452471674032736,109.43807999636975,0.6975441084959568
BTC-19JUN26-73000-P,put,62952.38,73000.0,0.030545403308885,0.045,10166.80937,0.5757112667166453,10104.238631013744,9967.855245537643,136.38338547610147,0.013497640985782846
BTC-19JUN26-74000-C,call,62952.38,74000.0,0.030545403308885,0.045,78.69047499999999,0.5008802942338753,159.5541348601076,25.17469135724797,134.37944350285963,0.8422184960651731
BTC-19JUN26-74000-P,put,62956.02,74000.0,0.030545403308885,0.045,11127.476534999998,0.5923320436504056,11101.867309097266,10981.589231658703,120.27807743856283,0.010834040264560061
BTC-19JUN26-75000-C,call,62958.34,75000.0,0.030545403308885,0.045,62.95834,0.51458583183835,169.87010112873133,12.973721252774777,156.89637987595657,0.9236256341370929
BTC-19JUN26-75000-P,put,62958.32,75000.0,0.030545403308885,0.045,12056.51828,0.5750860214774066,12108.530449698119,11959.675243299132,148.8552063989864,0.012293416366037842
BTC-19JUN26-76000-C,call,62964.32,76000.0,0.030545403308885,0.045,50.3714559999937,0.5274511498905797,185.65040726290732,8.369827322854055,177.28057994005326,0.9549161919639573
BTC-19JUN26-76000-P,put,62963.88,76000.0,0.030545403308885,0.045,13096.487039999998,0.650538724741412,13117.385200197263,12968.715677416436,148.6695227808268,0.011333777312462478
BTC-19JUN26-77000-C,call,62964.58,77000.0,0.030545403308885,0.045,44.075206,0.546913299049594,205.55255374684725,4.349383066312925,201.20317068053433,0.9788405301367868
BTC-19JUN26-77000-P,put,62966.59,77000.0,0.030545403308885,0.045,14277.6742825,0.8091842584696954,14133.1490033124,13897.780452645855,235.36855066654425,0.01665365238924324
BTC-19JUN26-78000-C,call,62973.2,78000.0,0.030545403308885,0.045,37.78392,0.563428137313466,228.28136700084144,3.0285521756785685,225.2528148251629,0.9867332484667161
BTC-19JUN26-78000-P,put,62973.2,78000.0,0.030545403308885,0.045,15271.000999999998,0.8477379202239971,15147.940653022873,14930.39267755532,217.54797546755435,0.01436155451428582
BTC-19JUN26-80000-C,call,62982.08,80000.0,0.030545403308885,0.045,31.49104,0.6041669999537556,280.66732688857485,0.8081228999852719,279.85920398858957,0.9971207090296402
BTC-19JUN26-85000-C,call,62979.42,85000.0,0.030545403308885,0.045,22.042797,0.7018987299615674,440.8590453419797,0.047690569978954975,440.81135477200075,0.9998918235420531
BTC-26JUN26-45000-P,put,62998.32,45000.0,0.0497234855006659,0.045,103.947228,0.7987062334307156,419.67583034093695,0.0,419.67583034093695,1.0
BTC-26JUN26-50000-C,call,62997.58,50000.0,0.0497234855006659,0.045,13229.4918,0.5973971876257042,13343.92200286041,13141.505491757785,202.416511102625,0.015169191715841482
BTC-26JUN26-50000-P,put,62997.14,50000.0,0.0497234855006659,0.045,239.389132,0.6876940152930505,234.5789143793445,9.318567732256971,225.26034664708752,0.9602753395081893
BTC-26JUN26-54000-P,put,63001.43,54000.0,0.0497234855006659,0.045,381.1586515,0.5665362456751245,221.41570688626962,106.34029175358494,115.07541513268468,0.5197256181639963
BTC-26JUN26-55000-C,call,63005.02,55000.0,0.0497234855006659,0.045,8552.931465,0.5337286046934345,8391.122667694268,8255.90152760818,135.22114008608878,0.016114785284535135
BTC-26JUN26-55000-P,put,63004.96,55000.0,0.0497234855006659,0.045,598.54712,0.5945366728548587,263.1772894494352,162.59497927755294,100.58231017188226,0.38218461168248846
BTC-26JUN26-56000-P,put,63005.14,56000.0,0.0497234855006659,0.045,945.0771,0.6403075727077397,335.20665058221493,249.59516501997592,85.61148556223901,0.2553991259228951
